"time_arcid","logppt"
144909,0.4672257656
144910,0.2462123741
144911,0.5035483948
144912,0.4672396201
144913,0.4976864057
144914,0.5552809823
144915,0.4681493949
144916,0.5552809823
144917,0.5552809823
144918,0.453883111
144919,0.4486362309
144920,0.1084288172
144921,0.5759856058
144922,0.5169659077
144923,0.5527650205
144924,0.4672257656
144925,0.378043644
144926,0.4510411543
144927,0.5035483948
144928,0.5009240379
144929,0.5080745824
144930,0.5552809823
144931,0.5004927664
144932,0.5004927664
144933,0.5552809823
144934,0.5371321945
144935,0.453883111
144936,0.4059813747
144937,0.4036312566
144938,0.4507681541
144939,0.4507681541
144940,0.4461705974
144941,0.1070402113
144942,0.5429594896
144943,0.546517312
144944,0.5525595372
144945,0.4734390111
144946,0.5569295006
144947,0.5004927664
144948,0.5033499724
144949,0.53496267
144950,0.5004927664
144951,0.5004927664
144952,0.5402548514
144953,0.5216404039
144954,0.4603717613
144955,0.453883111
144956,0.392168612
144957,0.3833060286
144958,0.4507681541
144959,0.4505314451
144960,0.1070402113
144961,0.5339761889
144962,0.5339761889
144963,0.538595618
144964,0.5455796038
144965,0.5018657831
144966,0.5282212441
144967,0.5124837091
144968,0.4792506631
144969,0.453883111
144970,0.3715328584
144971,0.3713450521
144972,0.3682817072
144973,0.1070402113
144974,0.545388591
144975,0.5340180571
144976,0.3457539547
144977,0.5812297788
144978,0.5362660094
144979,0.5266707809
144980,0.533316465
144981,0.5717686887
144982,0.4584970841
144983,0.4299885502
144984,0.3884005015
144985,0.3184309271
144986,0.2997246285
144987,0.4263196355
144988,0.1070402113
144989,0.5365401624
144990,0.3630302599
144991,0.3438400339
144992,0.3772787348
144993,0.5782726037
144994,0.583407924
144995,0.5578045957
144996,0.575521562
144997,0.459543568
144998,0.4460560687
144999,0.3745047218
145000,0.4036408882
145001,0.3330454556
145002,0.4453252309
145003,0.113202397
145004,0.4280031448
145005,0.5010465185
145006,0.1687718285
145007,0.1713209674
145008,0.2709358091
145009,0.3438400339
145010,0.3438400339
145011,0.5793251167
145012,0.5711863322
145013,0.4591124934
145014,0.4488549912
145015,0.4085848558
145016,0.4036408882
145017,0.4429205231
145018,0.3911643494
145019,0.452041491
145020,0.4366876569
145021,0.1070402113
145022,0.3837570946
145023,0.1470313152
145024,0.1992247752
145025,0.2701353193
145026,0.404375026
145027,0.4454187331
145028,0.4325951696
145029,0.4734847216
145030,0.4962920776
145031,0.459543568
145032,0.4351417928
145033,0.4036408882
145034,0.4455846197
145035,0.4288268886
145036,0.3816244168
145037,0.3566470842
145038,0.4374617313
145039,0.2462123741
145040,0.2923025886
145041,0.1470313152
145042,0.2724975099
145043,0.2793998009
145044,0.4672257656
145045,0.4638235976
145046,0.3831226927
145047,0.4237832533
145048,0.2462123741
145049,0.385286737
145050,0.4511998997
145051,0.4036408882
145052,0.3961595682
145053,0.3825374652
145054,0.4434173513
145055,0.1070402113
145056,0.1470313152
145057,0.4314429097
145058,0.4710069617
145059,0.4230486337
145060,0.44287254
145061,0.4265763557
145062,0.3765790116
145063,0.3765790116
145064,0.4652651927
145065,0.4610974313
145066,0.4166010992
145067,0.4354949698
145068,0.4454503064
145069,0.1070402113
145070,0.1839482744
145071,0.3868428278
145072,0.6262662164
145073,0.6268138811
145074,0.4600029456
145075,0.5261617636
145076,0.3929957042
145077,0.418732864
145078,0.5233752117
145079,0.4525797375
145080,0.4216093959
145081,0.45070014
145082,0.1070402113
145083,0.3744897475
145084,0.3346344265
145085,0.5125948366
145086,0.5125094095
145087,0.6274441734
145088,0.6199269879
145089,0.509513147
145090,0.5787521696
145091,0.4277921956
145092,0.4258141239
145093,0.421813183
145094,0.441032229
145095,0.1076190104
145096,0.4219587427
145097,0.3358526776
145098,0.549909393
145099,0.6030571536
145100,0.599706349
145101,0.5354976495
145102,0.5028752586
145103,0.4042241709
145104,0.4213887722
145105,0.4341007385
145106,0.4119750822
145107,0.1070402113
145108,0.4443174934
145109,0.431679644
145110,0.6442902972
145111,0.6163600531
145112,0.5990730779
145113,0.6147646615
145114,0.6230823676
145115,0.6380534666
145116,0.3837975515
145117,0.3941989051
145118,0.4043856157
145119,0.5757103462
145120,0.5027252527
145121,0.4773371064
145122,0.1119869289
145123,0.4737564249
145124,0.6442902972
145125,0.6442902972
145126,0.5405458674
145127,0.6391618409
145128,0.6389996426
145129,0.6389996426
145130,0.6389996426
145131,0.5554710238
145132,0.5396591123
145133,0.4038283194
145134,0.4010346967
145135,0.4103035959
145136,0.4176692784
145137,0.1070402113
145138,0.4737564249
145139,0.4737564249
145140,0.6009157605
145141,0.5835414178
145142,0.6135689076
145143,0.6318878918
145144,0.4193516459
145145,0.4328690729
145146,0.4103035959
145147,0.1130734352
145148,0.5057784039
145149,0.5778625204
145150,0.5732474121
145151,0.4103035959
145152,0.4103035959
145153,0.1098429068
145154,0.4737564249
145155,0.4818568821
145156,0.551839981
145157,0.4727869476
145158,0.0870045561
145159,0.441225345
145160,0.4840800327
145161,0.4823185246
145162,0.1113898489
145163,0.4676886874
145164,0.4670372542
145165,0.4634680369
145166,0.5180313127
145167,0.4957704554
145168,0.0742823939
145169,0.5148213389
145170,0.4563358756
145171,0.479817283
145172,0.0742823939
145173,0.5265947291
145174,0.5036532468
145175,0.0663671085
145176,0.0985914633
145177,0.5265947291
145178,0.5265947291
145179,0.055909139
145180,0.0517841797
145181,0.5265947291
145182,0.0517841797
145183,0.4720975688
145184,0.5283505315
145185,0.0475769272
145186,0.5082426657
145187,0.0517841797
145188,0.0472997129
145189,0.3050853498
145190,0.2462123741
145191,0.2951006245
145192,0.0292131598
145193,0.3324767303
145194,0.3584868573
145195,0.0290570797
145196,0.0402149187
145197,0.4174768037
145198,0.3856737236
145199,0.0290570797
145200,0.3843873451
145201,0.4356917928
145202,0.0183175124
145203,0.3494868168
145204,0.3748608413
145205,0.1262439618
145206,0.2942145987
145207,0.1183219059
145208,0.2934212941
145209,0.1267773078
145210,0.2968254047
145211,0.1539336887
145212,0.1925509168
145213,0.1539336887
145214,0.1539336887
145215,0.1539336887
145216,0.4869418774
145217,0.1899978817
145218,0.3843616931
145219,0.1643487505
145220,0.2462123741
145221,0.1621474855
145222,0.338737278
145223,0.0939221294
145224,0.2951006245
145225,0.3990648244
145226,0.3497553906
145227,0.1075859213
145228,0.26846952
145229,0.115073343
145230,0.2599159849
145231,0.308814253
145232,0.3126436049
145233,0.1216083693
145234,0.2699057834
145235,0.2396914487
145236,0.1937025255
145237,0.292465503
145238,0.1643487505
145239,0.2570821957
145240,0.2555190418
145241,0.2491765023
145242,0.2161346022
145243,0.1937025255
145244,0.3550606125
145245,0.368413463
145246,0.2234497496
145247,0.26501156
145248,0.2761036036
145249,0.1937025255
145250,0.1937025255
145251,0.3100342531
145252,0.1643487505
145253,0.2182782602
145254,0.1665544309
145255,0.2322386847
145256,0.1937025255
145257,0.1937025255
145258,0.1643487505
145259,0.1965249528
145260,0.2173744452
145261,0.2182782602
145262,0.2182782602
145263,0.2279702667
145264,0.1659699591
145265,0.1909832705
145266,0.1643487505
145267,0.2182782602
145268,0.2026165097
145269,0.1889626376
145270,0.2279702667
145271,0.1930024701
145272,0.1643487505
145273,0.1643487505
145274,0.2182782602
145275,0.2182782602
145276,0.2027023152
145277,0.1559716972
145278,0.1643487505
145279,0.2462123741
145280,0.1014261831
145281,0.090259488
145282,0.1293546463
145283,0.1517005963
145284,0.2286303118
145285,0.0906716217
145286,0.1064363619
145287,0.1184620514
145288,0.4537793535
145289,0.1972954302
145290,0.1043646835
145291,0.0381655439
145292,0.106778364
145293,0.1184620514
145294,0.2884506614
145295,0.2677799608
145296,0.3069274296
145297,0.2552702372
145298,0.106778364
145299,0.2514678738
145300,0.0888732108
145301,0.106778364
145302,0.2462123741
145303,0.2142386807
145304,0.2699815525
145305,0.3100227977
145306,0.5713608868
145307,0.1036129094
145308,0.3336913635
145309,0.0986819713
145310,0.2552702372
145311,0.2552702372
145312,0.159756685
145313,0.1446562029
145314,0.1184620514
145315,0.1184620514
145316,0.3197314307
145317,0.3705669495
145318,0.1003289738
145319,0.3336913635
145320,0.3336913635
145321,0.1006873098
145322,0.2006470664
145323,0.2552702372
145324,0.1806636348
145325,0.2894597387
145326,0.1184620514
145327,0.1195226747
145328,0.1184620514
145329,0.31653028
145330,0.3359715986
145331,0.3332087748
145332,0.3359715986
145333,0.1083821299
145334,0.2766237903
145335,0.1750650264
145336,0.2552702372
145337,0.1806636348
145338,0.2904639804
145339,0.2898556826
145340,0.1184620514
145341,0.1184620514
145342,0.1120402063
145343,0.2793540486
145344,0.3118747621
145345,0.3305196895
145346,0.3207934048
145347,0.3359715986
145348,0.3359715986
145349,0.0968959585
145350,0.3205774451
145351,0.2240215956
145352,0.188575024
145353,0.2480350301
145354,0.1806636348
145355,0.2898556826
145356,0.2898556826
